RefDes,Part Number,Part Name,Value,Facement
R52,"RESC1608N,,Resistor",,
C64,"CAPC1608N,,Capacitor",,
R51,"RESC1608N,,Resistor",,
R50,"RESC1608N,,Resistor",,
R49,"RESC1608N,,Resistor",,
R48,"RESC1608N,,Resistor",,
R47,"RESC1608N,,Resistor",,
R46,"RESC1608N,,Resistor",,
R13,"RESC1608N,,Resistor",,
J12,"2-1761603-1,,2-1761603-1",,
D13,"SOD-87,,CD1408-FU1200",,
D12,"SOD-87,,CD1408-FU1200",,
D11,"SOD-87,,CD1408-FU1200",,
D10,"SOD-87,,CD1408-FU1200",,
C63,"CAPC1608N,,Capacitor",,
C62,"CAPC1608N,,Capacitor",,
C61,"CAPC1608N,,Capacitor",,
C60,"CAPC1608N,,Capacitor",,
C37,"CAPC1608N,,Capacitor",,
J11,"HDR2X3,,61300621121",,
C59,"CAPC1608N,,Capacitor",,
Q1,"SOT23-3N,,BC817-40Q-7-F",,
U8,"SC-70-5,,LMV321AIDCKR",,
U10,"SOP-48,,PI3L301DAEX",,
C58,"CAPC1608N,,Capacitor",,
C57,"CAPC1608N,,Capacitor",,
TP2,"TP,,Test Point",,
FID3,"FIDUCIAL-1MM,,Fiducial",,
FID2,"FIDUCIAL-1MM,,Fiducial",,
FID1,"FIDUCIAL-1MM,,Fiducial",,
U9,"SOT-23-5,,REF4132A25DBVR",,
C54,"CAPC1608N,,Capacitor",,
U16,"SOT23-3N,,REF3130AQDBZRQ1",,
C56,"CAPC1608N,,Capacitor",,
C55,"CAPC1608N,,Capacitor",,
C53,"CAPC1608N,,Capacitor",,
VBUS,"TP,,Test Point",,
U15,"TSSOP-14,,TLV9004IPWR",,
U14,"TSSOP-14,,TLV9004IPWR",,
U13,"SOP-48,,PI3L301DAEX",,
U12,"TSSOP-14,,TLV9004IPWR",,
U11,"TSSOP-14,,TLV9004IPWR",,
U7,"SOT-223-4,,LM317AEMP/NOPB",,
U6,"LQFP100,,STM32F373V8T6",,
U5,"QFN-24,,CP2102N-A02-GQFN24",,
U4,"SOIC-16,,ULN2003AD",,
U3,"DPAK,,LF33CDT-TRY",,
U2,"D2PAK,,L7805CDT-TR",,
U1,"D2PAK,,L7812CD2T-TR",,
TX1,"TP,,Test Point",,
TP6,"TP,,Test Point",,
TP5,"TP,,Test Point",,
TP4,"TP,,Test Point",,
TP3,"TP,,Test Point",,
TP1,"TP,,Test Point",,
S1,"FSM4,,FSM4JSMA",,
RX1,"TP,,Test Point",,
R45,"RESC1608N,,Resistor",,
R44,"RESC1608N,,Resistor",,
R43,"RESC1608N,,Resistor",,
R42,"RESC1608N,,Resistor",,
R41,"RESC1608N,,Resistor",,
R40,"RESC1608N,,Resistor",,
R39,"RESC1608N,,Resistor",,
R38,"RESC1608N,,Resistor",,
R37,"RESC1608N,,Resistor",,
R36,"RESC1608N,,Resistor",,
R35,"RESC1608N,,Resistor",,
R34,"RESC1608N,,Resistor",,
R33,"RESC1608N,,Resistor",,
R32,"RESC1608N,,Resistor",,
R31,"RESC1608N,,Resistor",,
R30,"RESC1608N,,Resistor",,
R29,"RESC1608N,,Resistor",,
R28,"RESC1608N,,Resistor",,
R27,"RESC1608N,,Resistor",,
R26,"RESC1608N,,Resistor",,
R25,"RESC1608N,,Resistor",,
R24,"RESC1608N,,Resistor",,
R23,"RESC1608N,,Resistor",,
R22,"RESC1608N,,Resistor",,
R21,"RESC1608N,,Resistor",,
R20,"RESC1608N,,Resistor",,
R19,"RESC1608N,,Resistor",,
R18,"RESC1608N,,Resistor",,
R17,"RESC1608N,,Resistor",,
R16,"RESC1608N,,Resistor",,
R15,"RESC1608N,,Resistor",,
R14,"RESC1608N,,Resistor",,
R12,"RESC1608N,,Resistor",,
R11,"RESC1608N,,Resistor",,
R10,"3296W-1-502RLF,,3296W-1-502RLF",,
R9,"RESC1608N,,Resistor",,
R8,"RESC1608N,,Resistor",,
R7,"RESC1608N,,Resistor",,
R6,"RESC1608N,,Resistor",,
R5,"RESC1608N,,Resistor",,
R4,"RESC1608N,,Resistor",,
R3,"RESC1608N,,Resistor",,
R2,"RESC1608N,,Resistor",,
R1,"RESC1608N,,Resistor",,
L1,"INDC3216N,,2512067007Y3",,
K1,"G6BU-1114P,,HF 46F/24-HS1TF",,
