Part Number,Part Name,Value,
"RESC1608N,,Resistor",,Resistor
"CAPC1608N,,Capacitor",,Capacitor
"2-1761603-1,,2-1761603-1",,2-1761603-1
"SOD-87,,CD1408-FU1200",,CD1408-FU1200
"HDR2X3,,61300621121",,61300621121
"SOT23-3N,,BC817-40Q-7-F",,BC817-40Q-7-F
"SC-70-5,,LMV321AIDCKR",,LMV321AIDCKR
"SOP-48,,PI3L301DAEX",,PI3L301DAEX
"TP,,Test Point",,"Test Point"
"FIDUCIAL-1MM,,Fiducial",,Fiducial
"SOT-23-5,,REF4132A25DBVR",,REF4132A25DBVR
"SOT23-3N,,REF3130AQDBZRQ1",,REF3130AQDBZRQ1
"TSSOP-14,,TLV9004IPWR",,TLV9004IPWR
"SOT-223-4,,LM317AEMP/NOPB",,LM317AEMP/NOPB
"LQFP100,,STM32F373V8T6",,STM32F373V8T6
"QFN-24,,CP2102N-A02-GQFN24",,CP2102N-A02-GQFN24
"SOIC-16,,ULN2003AD",,ULN2003AD
"DPAK,,LF33CDT-TRY",,LF33CDT-TRY
"D2PAK,,L7805CDT-TR",,L7805CDT-TR
"D2PAK,,L7812CD2T-TR",,L7812CD2T-TR
"FSM4,,FSM4JSMA",,FSM4JSMA
"3296W-1-502RLF,,3296W-1-502RLF",,3296W-1-502RLF
"INDC3216N,,2512067007Y3",,2512067007Y3
"G6BU-1114P,,HF 46F/24-HS1TF",,"HF 46F/24-HS1TF"
"CUI_TBP01R2-508-02BE,,CUI_TBP01R2-508-02BE",,CUI_TBP01R2-508-02BE
"502237-0517,,502237-0517",,502237-0517
"HDR1X3,,90136-1103",,90136-1103
"5103308-3,,5103308-3",,5103308-3
"DIOM5227X270N,,S1M",,S1M
"SOD-123F,,SS24FL",,SS24FL
"SOT-143,,SP0503BAHTG",,SP0503BAHTG
"CAPC2012N,,Capacitor",,Capacitor
