CAD Net,X1 (in),Y1 (in),X2 (in),Y2 (in),Width (in),Layer,Xarc (in),Yarc (in),Radius (in)
3V3,31.733288,16.032282,31.733288,17.177662,0.011811,"Bottom Layer",,,
2V5,31.880601,17.011181,31.880601,17.01852,0.011811,"Bottom Layer",,,
2V5,31.880601,16.902131,31.880601,17.010974,0.011811,"Bottom Layer",,,
2V5,31.880601,17.010974,31.880807,17.011181,0.011811,"Bottom Layer",,,
12V,31.816839,15.662133,32.05415,15.424822,0.023622,"Bottom Layer",,,
12V,32.05415,15.424822,32.199574,15.424822,0.023622,"Bottom Layer",,,
VREFSD+,31.410661,16.51539,31.543307,16.51539,0.009842,"Bottom Layer",,,
VREFSD+,31.338724,16.587328,31.410661,16.51539,0.009842,"Bottom Layer",,,
VDD,30.865078,16.343867,30.867121,16.343867,0.01,"Bottom Layer",,,
VDD,30.867121,16.343867,31.013326,16.197661,0.01,"Bottom Layer",,,
VDD,31.013326,16.197661,31.015369,16.197661,0.01,"Bottom Layer",,,
2V5,31.879414,17.154293,31.879414,17.252118,0.011811,"Bottom Layer",,,
2V5,31.879414,17.018727,31.879414,17.154293,0.011811,"Bottom Layer",,,
2V5,31.879414,16.109552,31.879414,16.2469,0.011811,"Bottom Layer",,,
2V5,31.879414,16.900945,31.880601,16.902131,0.011811,"Bottom Layer",,,
2V5,31.879414,15.992698,31.879414,16.109552,0.011811,"Bottom Layer",,,
2V5,31.879414,16.448319,31.879414,16.900945,0.011811,"Bottom Layer",,,
2V5,31.879414,16.2469,31.879414,16.448319,0.011811,"Bottom Layer",,,
NRST,30.888779,16.566571,30.888779,17.297023,0.009842,"Bottom Layer",,,
NRST,30.758858,16.43665,30.888779,16.566571,0.009842,"Bottom Layer",,,
NRST,30.888779,17.297023,30.936887,17.34513,0.009842,"Bottom Layer",,,
12V,31.816839,15.662133,31.816839,17.882913,0.023622,"Bottom Layer",,,
NetU6_30,31.105948,16.691306,31.138694,16.724052,0.009842,"Bottom Layer",,,
NetU6_30,31.138694,16.724052,31.341535,16.724052,0.009842,"Bottom Layer",,,
NetU6_30,31.341535,16.724052,31.605352,16.987869,0.009842,"Bottom Layer",,,
NetU6_30,31.605352,16.987869,31.605352,17.790148,0.009842,"Bottom Layer",,,
VDD,31.274259,16.454238,31.274605,16.454584,0.01,"Bottom Layer",,,
VDD,31.015369,16.197661,31.271946,16.454238,0.01,"Bottom Layer",,,
VDD,31.271946,16.454238,31.274259,16.454238,0.01,"Bottom Layer",,,
VDD,31.015369,16.197661,31.015369,16.197661,0.01,"Bottom Layer",,,
3V3,32.340554,16.59628,32.483086,16.59628,0.011811,"Bottom Layer",,,
3V3,32.483086,16.59628,32.63009,16.449277,0.011811,"Bottom Layer",,,
3V3,32.035542,16.790872,32.230133,16.59628,0.011811,"Bottom Layer",,,
3V3,32.230133,16.59628,32.340554,16.59628,0.011811,"Bottom Layer",,,
SENSOR-5V-FB,32.318746,17.126185,32.318746,17.221662,0.01,"Bottom Layer",,,
SENSOR-5V-FB,32.946075,16.443358,33.022386,16.367047,0.01,"Bottom Layer",,,
SENSOR-5V-FB,32.388202,17.056729,32.573819,17.056729,0.01,"Bottom Layer",,,
SENSOR-5V-FB,32.318746,17.126185,32.388202,17.056729,0.01,"Bottom Layer",,,
SENSOR-5V-FB,32.946075,16.443358,32.946075,16.684472,0.01,"Bottom Layer",,,
SENSOR-5V-FB,32.573819,17.056729,32.946075,16.684472,0.01,"Bottom Layer",,,
SENSOR-5V-FB,33.022386,16.367047,33.090739,16.367047,0.01,"Bottom Layer",,,
AUX1-IN,32.377702,17.149291,32.377702,17.226942,0.007874,"Bottom Layer",,,
AUX1-IN,32.377702,17.149291,32.434029,17.092965,0.007874,"Bottom Layer",,,
AUX1-IN,32.434029,17.092965,33.140675,17.092965,0.007874,"Bottom Layer",,,
3V3,32.640016,17.118555,32.640016,17.444924,0.011811,"Bottom Layer",,,
3V3,32.443566,17.641375,32.640016,17.444924,0.011811,"Bottom Layer",,,
3V3,32.351378,17.641375,32.443566,17.641375,0.011811,"Bottom Layer",,,
3V3,32.035542,16.994972,32.035542,17.429869,0.011811,"Bottom Layer",,,
3V3,32.247047,17.641375,32.351378,17.641375,0.011811,"Bottom Layer",,,
3V3,32.035542,17.429869,32.247047,17.641375,0.011811,"Bottom Layer",,,
3V3,32.035542,16.790872,32.035542,16.994972,0.011811,"Bottom Layer",,,
3V3,32.63009,16.10221,32.63009,16.449277,0.011811,"Bottom Layer",,,
3V3,32.284672,16.137213,32.410804,16.137213,0.011811,"Bottom Layer",,,
3V3,32.445808,16.10221,32.63009,16.10221,0.011811,"Bottom Layer",,,
3V3,32.410804,16.137213,32.445808,16.10221,0.011811,"Bottom Layer",,,
3V3,32.25,16.138422,32.283464,16.138422,0.011811,"Bottom Layer",,,
3V3,32.212681,16.101103,32.25,16.138422,0.011811,"Bottom Layer",,,
3V3,32.035542,16.101103,32.212681,16.101103,0.011811,"Bottom Layer",,,
3V3,32.283464,16.138422,32.284672,16.137213,0.011811,"Bottom Layer",,,
SENSOR6-IN,32.369962,16.046399,32.449313,15.967047,0.01,"Bottom Layer",,,
SENSOR6-IN,32.369962,16.046399,32.369962,16.107402,0.01,"Bottom Layer",,,
SENSOR1-IN,32.308928,16.034951,32.423662,15.920217,0.01,"Bottom Layer",,,
SENSOR1-IN,32.308928,16.034951,32.308928,16.103903,0.01,"Bottom Layer",,,
SENSOR1-IN,32.423662,15.920217,33.148223,15.920217,0.01,"Bottom Layer",,,
SENSOR6-IN,32.449313,15.967047,33.090739,15.967047,0.01,"Bottom Layer",,,
AUX1-IN,33.140675,17.092965,33.193124,17.145414,0.007874,"Bottom Layer",,,
3V3,31.004921,16.006532,31.350579,15.660874,0.011811,"Bottom Layer",,,
3V3,31.350579,15.660874,31.505905,15.660874,0.011811,"Bottom Layer",,,
SELECT,31.664862,15.890882,31.665354,15.89039,0.009842,"Bottom Layer",,,
5V,31.960036,15.679333,31.960432,15.678938,0.023622,"Bottom Layer",,,
5V,31.960036,15.679333,31.960036,16.551845,0.023622,"Bottom Layer",,,
5V,31.95964,16.552241,31.960036,16.551845,0.023622,"Bottom Layer",,,
5V,33.229002,15.678938,33.31496,15.764896,0.023622,"Bottom Layer",,,
5V,31.960432,15.678938,33.229002,15.678938,0.023622,"Bottom Layer",,,
5V,33.193124,16.98073,33.31496,16.858894,0.023622,"Bottom Layer",,,
5V,33.31496,15.764896,33.31496,16.858894,0.023622,"Bottom Layer",,,
5V,33.193124,16.98073,33.193124,17.045414,0.023622,"Bottom Layer",,,
5V,33.175196,17.588267,33.182204,17.595275,0.023622,"Bottom Layer",,,
SENSOR-5V,32.540354,17.70043,32.894685,17.346099,0.019685,"Bottom Layer",,,
SENSOR-5V,32.894685,17.151217,32.894685,17.346099,0.019685,"Bottom Layer",,,
SENSOR-5V,32.16437,17.70043,32.540354,17.70043,0.019685,"Bottom Layer",,,
SENSOR4-IN,32.469926,16.784637,32.469926,16.880533,0.009842,"Bottom Layer",,,
SENSOR4-IN,32.469926,16.784637,32.934268,16.320295,0.009842,"Bottom Layer",,,
SENSOR4-IN,32.934268,16.320295,33.137491,16.320295,0.009842,"Bottom Layer",,,
SENSOR4-IN,33.137491,16.320295,33.190739,16.267047,0.009842,"Bottom Layer",,,
SENSOR9-IN,32.951098,16.267047,33.090739,16.267047,0.01,"Bottom Layer",,,
SENSOR9-IN,32.339567,16.878579,32.951098,16.267047,0.01,"Bottom Layer",,,
SENSOR9-IN,32.274478,16.878579,32.339567,16.878579,0.01,"Bottom Layer",,,
SENSOR1-IN,33.190739,15.962733,33.190739,15.967047,0.01,"Bottom Layer",,,
SENSOR1-IN,33.148223,15.920217,33.190739,15.962733,0.01,"Bottom Layer",,,
3V3,30.664283,18.034004,30.664399,18.03412,0.011811,"Bottom Layer",,,
3V3,30.715551,17.774537,30.715551,17.982968,0.011811,"Bottom Layer",,,
3V3,30.664399,18.03412,30.715551,17.982968,0.011811,"Bottom Layer",,,
3V3,30.614179,18.034004,30.664283,18.034004,0.011811,"Bottom Layer",,,
3V3,30.333661,17.782123,30.703704,17.782123,0.011811,"Bottom Layer",,,
3V3,30.703704,17.782123,30.711289,17.774537,0.011811,"Bottom Layer",,,
3V3,30.711289,17.774537,30.715551,17.774537,0.011811,"Bottom Layer",,,
2V5,31.877952,17.253579,31.879414,17.252118,0.011811,"Bottom Layer",,,
2V5,31.879414,15.992698,31.880876,15.991236,0.011811,"Bottom Layer",,,
3V3,31.733288,17.177662,31.733288,17.273996,0.011811,"Bottom Layer",,,
3V3,31.732324,17.27496,31.733288,17.273996,0.011811,"Bottom Layer",,,
3V3,31.733288,16.032282,31.734252,16.031318,0.011811,"Bottom Layer",,,
SELECT,31.664862,15.890882,31.664862,16.793441,0.009842,"Bottom Layer",,,
SELECT,31.66437,16.793933,31.664862,16.793441,0.009842,"Bottom Layer",,,
SELECT,31.133858,16.223067,31.466535,15.89039,0.009842,"Bottom Layer",,,
SELECT,31.466535,15.89039,31.665354,15.89039,0.009842,"Bottom Layer",,,
